"yearID","teamID","lgID","W","L","WPct","attendance","normAttend","payroll","metroPop","name"
2008,"ARI","NL",82,80,0.506172839506173,2509924,0.583885889888814,66202712,4489109,"Arizona Diamondbacks"
2008,"ATL","NL",72,90,0.444444444444444,2532834,0.589215463906734,102365683,5614323,"Atlanta Braves"
2008,"BAL","AL",68,93,0.422360248447205,1950075,0.453647710737428,67196246,2785874,"Baltimore Orioles"
2008,"BOS","AL",95,67,0.58641975308642,3048250,0.709117154086569,133390035,4732161,"Boston Red Sox"
2008,"CHA","AL",89,74,0.54601226993865,2500648,0.581728005620363,121189332,9554598,"Chicago White Sox"
2008,"CHN","NL",97,64,0.602484472049689,3300200,0.767728510429425,118345833,9554598,"Chicago Cubs"
2008,"CIN","NL",74,88,0.45679012345679,2058632,0.47890142381745,74117695,2149449,"Cincinnati Reds"
2008,"CLE","AL",81,81,0.5,2169760,0.504753230952472,78970066,2063598,"Cleveland Indians"
2008,"COL","NL",74,88,0.45679012345679,2650218,0.616522609979168,68655500,2754258,"Colorado Rockies"
2008,"DET","AL",74,88,0.45679012345679,3202645,0.745034202558707,137685196,4296611,"Detroit Tigers"
2008,"FLO","NL",84,77,0.521739130434783,1335076,0.310579937212919,21811500,5929819,"Florida Marlins"
2008,"HOU","NL",86,75,0.53416149068323,2779487,0.646594574349419,88930414,6490180,"Houston Astros"
2008,"KCA","AL",75,87,0.462962962962963,1578922,0.367306052707184,58245500,2071133,"Kansas City Royals"
2008,"LAA","AL",100,62,0.617283950617284,3336747,0.776230472089526,119216333,13262220,"Los Angeles Angels of Anaheim"
2008,"LAN","NL",84,78,0.518518518518518,3730553,0.86784191799528,118588536,13262220,"Los Angeles Dodgers"
2008,"MIL","NL",90,72,0.555555555555556,3068458,0.713818159401022,80937499,1572245,"Milwaukee Brewers"
2008,"MIN","AL",88,75,0.539877300613497,2302431,0.535616605659212,56932766,3495176,"Minnesota Twins"
2008,"NYA","AL",89,73,0.549382716049383,4298655,1,207896789,20092883,"New York Yankees"
2008,"NYN","NL",89,73,0.549382716049383,4042045,0.940304583643023,137793376,20092883,"New York Mets"
2008,"OAK","AL",75,86,0.46583850931677,1665256,0.387390009200552,47967126,1952872,"Oakland Athletics"
2008,"PHI","NL",92,70,0.567901234567901,3422583,0.796198578392544,97879880,6051170,"Philadelphia Phillies"
2008,"PIT","NL",67,95,0.41358024691358,1609076,0.374320804995981,48689783,2355968,"Pittsburgh Pirates"
2008,"SDN","NL",63,99,0.388888888888889,2427535,0.564719662312979,73677616,3263431,"San Diego Padres"
2008,"SEA","AL",61,101,0.376543209876543,2329702,0.541960683050861,117666482,3671478,"Seattle Mariners"
2008,"SFN","NL",72,90,0.444444444444444,2863837,0.66621699112862,76594500,4594060,"San Francisco Giants"
2008,"SLN","NL",86,76,0.530864197530864,3432917,0.798602586157763,99624449,2806207,"St. Louis Cardinals"
2008,"TBA","AL",97,65,0.598765432098765,1811986,0.421523941791095,43820597,2915582,"Tampa Bay Rays"
